Capitales de Provincia;Sexo;Año;Total
32054 Ourense;Mujer;2022;56.647
33044 Oviedo;Hombre;2023;100.555
33044 Oviedo;Hombre;2022;99.331
33044 Oviedo;Mujer;2023;116.814
33044 Oviedo;Mujer;2022;115.357
34120 Palencia;Hombre;2023;35.867
34120 Palencia;Hombre;2022;35.915
34120 Palencia;Mujer;2023;40.399
34120 Palencia;Mujer;2022;40.297
35016 Palmas de Gran Canaria, Las;Hombre;2023;183.420
35016 Palmas de Gran Canaria, Las;Hombre;2022;183.600
35016 Palmas de Gran Canaria, Las;Mujer;2023;197.443
35016 Palmas de Gran Canaria, Las;Mujer;2022;197.573
36038 Pontevedra;Hombre;2023;38.959
36038 Pontevedra;Hombre;2022;39.159
36038 Pontevedra;Mujer;2023;43.633
36038 Pontevedra;Mujer;2022;43.532
37274 Salamanca;Hombre;2023;64.936
37274 Salamanca;Hombre;2022;64.549
37274 Salamanca;Mujer;2023;78.730
37274 Salamanca;Mujer;2022;78.037
38038 Santa Cruz de Tenerife;Hombre;2023;99.286
38038 Santa Cruz de Tenerife;Hombre;2022;99.013
38038 Santa Cruz de Tenerife;Mujer;2023;109.620
38038 Santa Cruz de Tenerife;Mujer;2022;109.043
39075 Santander;Hombre;2023;79.492
39075 Santander;Hombre;2022;79.005
39075 Santander;Mujer;2023;93.163
39075 Santander;Mujer;2022;92.472
40194 Segovia;Hombre;2023;23.751
40194 Segovia;Hombre;2022;23.684
40194 Segovia;Mujer;2023;27.175
40194 Segovia;Mujer;2022;26.986
41091 Sevilla;Hombre;2023;324.431
41091 Sevilla;Hombre;2022;323.221
41091 Sevilla;Mujer;2023;359.733
41091 Sevilla;Mujer;2022;357.963
42173 Soria;Hombre;2023;18.874
42173 Soria;Hombre;2022;18.542
42173 Soria;Mujer;2023;21.159
42173 Soria;Mujer;2022;20.779
43148 Tarragona;Hombre;2023;67.329
43148 Tarragona;Hombre;2022;65.915
43148 Tarragona;Mujer;2023;70.997
43148 Tarragona;Mujer;2022;69.498
